projCode;actCode;excpectedHours
P11-088;B10115;40
P11-088;B10117;40
P11-088;B10118;80
P11-088;D20441;70
P11-088;F00731;50
P11-088;E10055;30
P11-088;E10056;40
P11-088;C20431;80
P11-088;F00732;200
P11-088;E10054;90
P11-088;C20432;100
P11-088;C20433;40
P11-088;D20440;120
P11-088;F00730;80
P12-009;B10115;36
P12-009;B10117;36
P12-009;B10118;50
P12-009;D20441;20
P12-009;F00731;16
P12-009;E10055;20
P12-009;E10056;30
P12-009;C20431;60
P12-009;F00731;80
P12-009;E10054;62
P12-009;C20432;60
P12-009;C20433;36
P12-009;D20440;60
P13-119;B10115;30
P13-119;B10117;30
P13-119;B10118;90
P13-119;D20441;40
P13-119;F00731;30
P13-119;C20431;80
P13-119;C20432;240
P13-119;C20433;160
P13-119;E10054;100
P13-119;E10055;60
P13-119;E10056;80
P13-119;D20440;50
P13-119;F00730;140
P13-119;F00731;30
P13-119;F00732;80
P15-001;B10115;
P15-001;B10117;10
P15-001;B10118;16
P15-001;E10054;16
P15-001;E10055;16
P15-001;E10056;16
P15-001;C20431;20
P15-001;C20432;20
P15-001;C20433;10
P15-001;D20440;14
P15-001;D20441;12
P15-001;F00730;20
P15-001;F00731;10
P15-001;F00732;30
P15-002;B10115;30
P15-002;B10117;30
P15-002;B10118;90
P15-002;D20441;40
P15-002;F00731;30
P15-002;C20431;80
P15-002;C20432;240
P15-002;C20433;160
P15-002;E10054;100
P15-002;E10055;60
P15-002;E10056;80
P15-002;D20440;50
P15-002;F00730;140
P15-002;F00732;80
P16-001;B10115;20
P16-001;B10117;10
P16-001;B10118;16
P16-001;E10054;16
P16-001;E10055;16
P16-001;E10056;16
P16-001;C20431;20
P16-001;C20432;20
P16-001;C20433;10
P16-001;D20440;14
P16-001;D20441;12
P16-001;F00730;20
P16-001;F00731;10
P16-001;F00732;30
P16-002;B10115;40
P16-002;B10117;40
P16-002;B10118;80
P16-002;D20441;100
P16-002;F00731;90
P16-002;E10055;30
P16-002;E10056;40
P16-002;C20431;80
P16-002;F00732;300
P16-002;E10054;90
P16-002;C20432;100
P16-002;C20433;40
P16-002;D20440;150
P16-002;F00730;160
P17-001;B10115;36
P17-001;B10117;36
P17-001;B10118;50
P17-001;D20441;20
P17-001;F00731;16
P17-001;E10055;20
P17-001;E10056;30
P17-001;C20431;60
P17-001;F00732;80
P17-001;E10054;62
P17-001;C20432;60
P17-001;C20433;36
P17-001;D20440;60
P17-002;B10115;20
P17-002;B10117;10
P17-002;B10118;16
P17-002;E10054;16
P17-002;E10055;16
P17-002;E10056;16
P17-002;C20431;20
P17-002;C20432;20
P17-002;C20433;10
P17-002;D20440;14
P17-002;D20441;12
P17-002;F00730;20
P17-002;F00731;10
P17-002;F00732;30
