staffCode;actCode;scheduledHours;projCode;
198-0057;B10115;10;P11-088;
198-0057;B10117;10;P11-088;
198-0057;B10118;20;P11-088;
198-0057;D20441;15;P11-088;
198-0057;F00731;10;P11-088;
198-0056;E10055;15;P11-088;
198-0056;E10056;20;P11-088;
198-0056;C20431;40;P11-088;
198-0056;F00732;50;P11-088;
198-0060;E10054;20;P11-088;
198-0060;C20432;50;P11-088;
198-0060;C20433;20;P11-088;
198-0060;D20440;40;P11-088;
198-0064;D20440;20;P11-088;
198-0064;D20441;20;P11-088;
198-0064;F00730;40;P11-088;
198-0064;F00731;15;P11-088;
198-0064;F00732;50;P11-088;
198-0068;B10115;10;P11-088;
198-0068;B10117;10;P11-088;
198-0068;B10118;20;P11-088;
198-0068;E10054;25;P11-088;
198-0058;B10115;8;P12-009;
198-0058;B10117;8;P12-009;
198-0058;B10118;15;P12-009;
198-0058;D20441;10;P12-009;
198-0058;F00731;8;P12-009;
198-0056;E10055;10;P12-009;
198-0056;E10056;15;P12-009;
198-0056;C20431;30;P12-009;
198-0056;F00732;40;P12-009;
198-0062;E10054;8;P12-009;
198-0062;C20432;15;P12-009;
198-0062;C20433;8;P12-009;
198-0062;D20440;15;P12-009;
198-0066;E10054;8;P12-009;
198-0066;C20432;15;P12-009;
198-0066;C20433;8;P12-009;
198-0066;D20440;15;P12-009;
198-0070;B10115;10;P12-009;
198-0070;B10117;10;P12-009;
198-0070;B10118;10;P12-009;
198-0070;E10054;15;P12-009;
198-0059;B10115;15;P13-119;
198-0059;B10117;15;P13-119;
198-0059;B10118;30;P13-119;
198-0059;D20441;20;P13-119;
198-0059;F00731;15;P13-119;
198-0056;C20431;20;P13-119;
198-0056;C20432;60;P13-119;
198-0056;C20433;40;P13-119;
198-0060;C20431;20;P13-119;
198-0060;C20432;60;P13-119;
198-0060;C20433;40;P13-119;
198-0064;E10054;15;P13-119;
198-0064;E10055;15;P13-119;
198-0064;E10056;20;P13-119;
198-0068;E10054;15;P13-119;
198-0068;E10055;15;P13-119;
198-0068;E10056;20;P13-119;
198-0068;D20440;25;P13-119;
198-0068;F00730;30;P13-119;
198-0072;B10118;15;P13-119;
198-0072;E10054;20;P13-119;
198-0072;F00730;40;P13-119;
198-0072;F00732;40;P13-119;
198-0061;B10115;10;P15-001;
198-0061;B10117;5;P15-001;
198-0061;B10118;8;P15-001;
198-0061;E10054;8;P15-001;
198-0061;E10055;8;P15-001;
198-0062;E10056;8;P15-001;
198-0062;C20431;10;P15-001;
198-0062;C20432;10;P15-001;
198-0062;C20433;5;P15-001;
198-0062;D20440;7;P15-001;
198-0062;D20441;6;P15-001;
198-0066;F00730;10;P15-001;
198-0066;F00731;5;P15-001;
